实时力矩
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
┃  PATIENT:伦庆龙	┃  ITEM:被动训练	┃  STRAT TIME:2024/7/17 23:00:33	┃  Remarks:
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Fx	Tx	Fy	Ty	Fz	Tz
61.4949	-3.8514	-57.1200	0.6045	-104.9162	0.0913
61.4917	-4.0155	-57.5431	0.6656	-106.7244	0.1087
61.6096	-4.2284	-57.7120	0.7624	-111.0112	0.1263
61.8261	-4.1235	-57.8717	0.6793	-105.4662	0.1397
61.9353	-4.1936	-57.4547	0.7364	-107.7477	0.1596
62.5297	-3.8051	-57.6151	0.5095	-94.8393	0.1776
62.4653	-4.0747	-57.7050	0.6382	-100.7664	0.1926
62.6350	-4.1959	-58.1247	0.6835	-101.7611	0.2183
63.0384	-4.0199	-58.0969	0.5684	-94.5902	0.2258
63.0768	-4.2398	-58.2312	0.6781	-98.8812	0.2631
63.3896	-4.0462	-57.1222	0.6437	-96.5054	0.2822
63.5655	-3.9889	-56.7685	0.6366	-95.5050	0.2876
63.8536	-4.4338	-56.8991	0.8904	-107.7913	0.3288
64.3061	-4.0389	-56.9655	0.6346	-94.0678	0.3438
64.2828	-4.3576	-57.2874	0.8245	-101.8193	0.3537
64.4764	-4.1604	-57.4744	0.6804	-94.4393	0.3723
64.3582	-4.3953	-57.6895	0.7815	-98.3053	0.3871
64.3848	-4.7551	-57.8000	1.0022	-109.5670	0.4029
64.5564	-4.5933	-58.2518	0.8859	-103.6010	0.4050
64.8820	-4.6770	-58.0627	0.9680	-106.4867	0.4364
65.4892	-4.2596	-57.9560	0.7327	-93.8046	0.4543
65.5570	-4.5721	-58.3133	0.8693	-100.1238	0.4694
65.5352	-4.9206	-59.1567	1.0098	-106.6168	0.4876
65.9593	-4.6860	-58.7752	0.9023	-101.1226	0.5007
66.1041	-4.5736	-59.1494	0.8141	-96.5958	0.5086
66.6273	-4.4307	-58.6994	0.7674	-93.5618	0.5278
66.5940	-4.6063	-58.2402	0.8987	-100.9584	0.4920
66.8698	-4.8043	-58.3166	0.9866	-106.0791	0.5068
66.9400	-4.8418	-58.9763	0.9592	-103.3643	0.5151
67.2055	-4.7861	-59.3632	0.9038	-99.8593	0.5317
67.0063	-5.1843	-60.1218	1.0635	-107.9936	0.5387
67.5223	-4.8180	-60.8486	0.8156	-94.6401	0.5540
