time,degreeX,degreeY,degreeZ,,,,
30.5,-7.397550027,-15.80497083,7.585036617,,-0.258729336,,-5.742435554
30.6,-7.463307534,-15.7946994,7.477669007,,-0.321777951,,-5.817112014
30.7,-7.52967506,-15.78439196,7.370721215,,-0.386040701,,-5.889661973
30.8,-7.596617042,-15.77404222,7.264211016,,-0.451483695,,-5.960031444
30.9,-7.664097977,-15.76364393,7.158156141,,-0.518072538,,-6.028169609
31,-7.732082445,-15.75319089,7.052574269,,-0.585772367,,-6.094030728
31.1,-7.800535128,-15.74267693,6.947483017,,-0.654547898,,-6.157576201
31.2,-7.869420834,-15.73209595,6.84289993,,-0.724363464,,-6.218776723
31.3,-7.938704512,-15.72144191,6.738842473,,-0.795183057,,-6.277614493
31.4,-8.008351276,-15.71070882,6.635328021,,-0.866970369,,-6.334085389
31.5,-8.078326424,-15.69989075,6.532373851,,-0.939688829,,-6.388200984
31.6,-8.148595454,-15.68898186,6.429997131,,-1.013301645,,-6.439990259
31.7,-8.219124092,-15.67797637,6.328214912,,-1.087771834,,-6.489500852
31.8,-8.289878301,-15.66686859,6.227044119,,-1.16306226,,-6.536799685
31.9,-8.360824306,-15.65565291,6.126501539,,-1.239135661,,-6.581972875
32,-8.431928611,-15.64432381,6.026603817,,-1.31595468,,-6.625124879
32.1,-8.503158016,-15.63287586,5.927367441,,-1.393481882,,-6.666376937
32.2,-8.574479636,-15.62130373,5.828808735,,-1.471679781,,-6.705864889
32.3,-8.645860918,-15.60960219,5.730943854,,-1.550510848,,-6.743736556
32.4,-8.717269658,-15.59776612,5.633788768,,-1.629937521,,-6.780148848
32.5,-8.788674018,-15.58579049,5.537359256,,-1.709922209,,-6.815264755
32.6,-8.860042542,-15.5736704,5.441670901,,-1.79042729,,-6.84925037
32.7,-8.931344172,-15.56140108,5.346739074,,-1.871415097,,-6.882272008
32.8,-9.002548264,-15.54897785,5.252578931,,-1.952847901,,-6.914493464
32.9,-9.073624603,-15.53639618,5.159205399,,-2.03468789,,-6.946073444
33,-9.144543415,-15.52365164,5.066633175,,-2.116897124,,-6.977163156
33.1,-9.215275387,-15.51073996,4.97487671,,-2.199437503,,-7.007904116
33.2,-9.285791676,-15.49765698,4.883950205,,-2.282270703,,-7.038426181
33.3,-9.356063923,-15.4843987,4.7938676,,-2.365358118,,-7.068845904
33.4,-9.42606427,-15.47096123,4.704642571,,-2.44866078,,-7.099265247
33.5,-9.495765365,-15.45734087,4.616288515,,-2.532139272,,-7.129770713
33.6,-9.565140382,-15.44353401,4.528818547,,-2.615753629,,-7.16043292
33.7,-9.634163027,-15.42953723,4.442245494,,-2.699463218,,-7.191306581
33.8,-9.702807551,-15.41534724,4.35658188,,-2.783226612,,-7.222430848
33.9,-9.771048762,-15.40096092,4.271839928,,-2.867001446,,-7.253829931
34,-9.838862031,-15.38637528,4.188031546,,-2.950744249,,-7.285513916
34.1,-9.906223307,-15.37158752,4.105168324,,-3.034410272,,-7.317479687
34.2,-9.973109121,-15.35659497,4.023261526,,-3.117953287,,-7.34971191
34.3,-10.0394966,-15.34139514,3.942322081,,-3.201325371,,-7.382184041
34.4,-10.10536346,-15.3259857,3.862360583,,-3.284476669,,-7.414859358
34.5,-10.17068805,-15.31036448,3.783387279,,-3.367355137,,-7.447692
34.6,-10.2354493,-15.29452948,3.705412065,,-3.449906263,,-7.480628037
34.7,-10.2996268,-15.27847886,3.628444482,,-3.532072765,,-7.513606562
34.8,-10.36320074,-15.26221096,3.55249371,,-3.613794268,,-7.54656078
34.9,-10.42615195,-15.24572428,3.477568559,,-3.695006964,,-7.579419083
35,-10.4884619,-15.22901749,3.403677471,,-3.775643244,,-7.612106071
35.1,-10.5501127,-15.21208943,3.33082851,,-3.855631317,,-7.644543501
35.2,-10.61108712,-15.19493913,3.259029358,,-3.934894813,,-7.676651134
35.3,-10.67136857,-15.17756576,3.188287315,,-4.013352374,,-7.708347494
35.4,-10.7309411,-15.15996868,3.118609291,,-4.09091723,,-7.739550529
35.5,-10.78978943,-15.14214742,3.050001803,,-4.167496783,,-7.770178198
35.6,-10.84789894,-15.12410168,2.982470973,,-4.242992185,,-7.800149005
35.7,-10.90525567,-15.10583132,2.916022525,,-4.317297932,,-7.829382488
